iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,,,,
BHS,Bahamas,397868.00,"393,244","13,943 sq_km",28/sq_km,0.93,0.01%,178,,,,0.01
MTQ,Martinique,374554.00,"375,265","1,128 sq_km",332/sq_km,-0.14,0.00%,179,,,,0.00
ISL,Iceland,343926.00,"341,243","103,000 sq_km",3/sq_km,0.62,0.00%,180,,,,0.01
VUT,Vanuatu,316374.00,"307,145","12,189 sq_km",26/sq_km,2.38,0.00%,181,,,,0.02
NCL,New Caledonia,288887.00,"285,498","18,575 sq_km",16/sq_km,0.95,0.00%,183,,,,0.01
BRB,Barbados,287807.00,"287,375",430 sq_km,669/sq_km,0.12,0.00%,184,,,,0.00
PYF,French Polynesia,282912.00,"280,908","4,167 sq_km",68/sq_km,0.58,0.00%,185,,,,0.01
MYT,Mayotte,281234.00,"272,815",374 sq_km,747/sq_km,2.46,0.00%,186,,,,0.02
STP,Sao Tome And Principe,224514.00,"219,159",964 sq_km,232/sq_km,1.92,0.00%,187,,,,0.02
WSM,Samoa,200531.00,"198,414","2,842 sq_km",70/sq_km,0.87,0.00%,188,,,,0.01
LCA,Saint Lucia,184591.00,"183,627",616 sq_km,299/sq_km,0.42,0.00%,189,,,,0.00
GUM,Guam,170561.00,"168,775",549 sq_km,310/sq_km,0.83,0.00%,190,,,,0.01
CUW,Curacao,164989.00,"164,093",444 sq_km,371/sq_km,0.43,0.00%,191,,,,0.00
KIR,Kiribati,121870.00,"119,449",811 sq_km,150/sq_km,1.63,0.00%,192,,,,0.02
FSM,Micronesia,116541.00,"115,023",702 sq_km,166/sq_km,1.07,0.00%,193,,,,0.01
GRD,Grenada,113117.00,"112,523",344 sq_km,329/sq_km,0.44,0.00%,194,,,,0.00
VCT,Saint Vincent And The Grenadines,111263.00,"110,940",389 sq_km,286/sq_km,0.29,0.00%,195,,,,0.00
ABW,Aruba,107204.00,"106,766",180 sq_km,596/sq_km,0.41,0.00%,196,,,,0.00
TON,Tonga,107047.00,"105,695",747 sq_km,143/sq_km,1.01,0.00%,197,,,,0.01
VIR,United States Virgin Islands,104130.00,"104,425",347 sq_km,300/sq_km,-0.19,0.00%,198,,,,0.00
SYC,Seychelles,99004.00,"98,347",452 sq_km,219/sq_km,0.57,0.00%,199,,,,0.01
ATG,Antigua And Barbuda,98922.00,"97,929",442 sq_km,223/sq_km,0.82,0.00%,200,,,,0.01
IMN,Isle Of Man,85410.00,"85,033",572 sq_km,149/sq_km,0.44,0.00%,201,,,,0.00
AND,Andorra,77355.00,"77,265",468 sq_km,165/sq_km,0.12,0.00%,202,,,,0.00
DMA,Dominica,72167.00,"71,986",751 sq_km,96/sq_km,0.25,0.00%,203,,,,0.00
CYM,Cayman Islands,66497.00,"65,722",264 sq_km,252/sq_km,1.18,0.00%,204,,,,0.01
BMU,Bermuda,62090.00,"62,278",54 sq_km,"1,150/sq_km",-0.3,0.00%,205,,,,0.00
MHL,Marshall Islands,59610.00,"59,190",181 sq_km,329/sq_km,0.71,0.00%,206,,,,0.01
MNP,Northern Mariana Islands,57917.00,"57,559",464 sq_km,125/sq_km,0.62,0.00%,207,,,,0.01
GRL,Greenland,56877.00,"56,770","2,166,086 sq_km",0/sq_km,0.19,0.00%,208,,,,0.00
ASM,American Samoa,55100.00,"55,191",199 sq_km,277/sq_km,-0.16,0.00%,209,,,,0.00
KNA,Saint Kitts And Nevis,53544.00,"53,199",261 sq_km,205/sq_km,0.65,0.00%,210,,,,0.01
FRO,Faroe Islands,49049.00,"48,863","1,393 sq_km",35/sq_km,0.38,0.00%,211,,,,0.00
MAF,Sint Maarten,43412.00,"42,876",34 sq_km,"1,277/sq_km",1.25,0.00%,212,,,,0.01
MCO,Monaco,39511.00,"39,242",2 sq_km,"19,756/sq_km",0.69,0.00%,213,,,,0.01
MAF,Saint Martin,39234.00,"38,666",53 sq_km,740/sq_km,1.47,0.00%,214,,,,0.01
TCA,Turks And Caicos Islands,39231.00,"38,717",948 sq_km,41/sq_km,1.33,0.00%,215,,,,0.01
LIE,Liechtenstein,38250.00,"38,128",160 sq_km,239/sq_km,0.32,0.00%,216,,,,0.00
SMR,San Marino,34017.00,"33,931",61 sq_km,558/sq_km,0.25,0.00%,217,,,,0.00
GIB,Gibraltar,33698.00,"33,691",6 sq_km,"5,616/sq_km",0.02,0.00%,218,,,,0.00
PLW,Palau,18169.00,"18,094",459 sq_km,40/sq_km,0.41,0.00%,220,,,,0.00
COK,Cook Islands,17565.00,"17,564",236 sq_km,74/sq_km,0.01,0.00%,221,,,,0.00
AIA,Anguilla,15117.00,"15,003",91 sq_km,166/sq_km,0.76,0.00%,222,,,,0.01
TUV,Tuvalu,11931.00,"11,792",26 sq_km,459/sq_km,1.18,0.00%,223,,,,0.01
WLF,Wallis And Futuna,11094.00,"11,239",142 sq_km,78/sq_km,-1.29,0.00%,224,,,,-0.01
NRU,Nauru,10876.00,"10,824",21 sq_km,518/sq_km,0.48,0.00%,225,,,,0.00
BL,Saint Barthelemy,9907.00,"9,877",21 sq_km,472/sq_km,0.3,0.00%,226,,,,0.00
SPM,Saint Pierre And Miquelon,5766.00,"5,794",242 sq_km,24/sq_km,-0.48,0.00%,227,,,,0.00
MSR,Montserrat,4977.00,"4,992",102 sq_km,49/sq_km,-0.3,0.00%,228,,,,0.00
FLK,Falkland Islands,3533.00,"3,480","12,173 sq_km",0/sq_km,1.52,0.00%,229,,,,0.02
NIU,Niue,1619.00,"1,626",260 sq_km,6/sq_km,-0.43,0.00%,230,,,,0.00
TKL,Tokelau,1373.00,"1,357",12 sq_km,114/sq_km,1.18,0.00%,231,,,,0.01
VAT,Vatican City,800.00,801,1 sq_km,800/sq_km,-0.12,0.00%,232,,,,0.00
