iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,Continent,,,
MYT,Sint Maarten,43412,"42,876",34 sq_km,"1,277/sq_km",1.25,0.00%,212,,,,0.01
STP,Slovakia,5460817,"5,459,642","49,037 sq_km",111/sq_km,0.02,0.07%,119,Europe,,,0
WSM,Slovenia,2078724,"2,078,938","20,273 sq_km",103/sq_km,-0.01,0.03%,149,,,,0
LCA,Solomon Islands,708486,"686,884","28,896 sq_km",24/sq_km,2.49,0.01%,166,,,,0.02
GUM,Somalia,16481296,"15,893,222","637,657 sq_km",26/sq_km,2.93,0.21%,73,,,,0.03
CUW,South Africa,60233708,"59,308,690","1,221,037 sq_km",49/sq_km,1.24,0.76%,25,,,,0.01
KIR,South Korea,51316744,"51,269,185","100,210 sq_km",512/sq_km,0.07,0.65%,28,,,,0
FSM,South Sudan,11431050,"11,193,725","619,745 sq_km",18/sq_km,1.68,0.14%,83,,,,0.02
GRD,Spain,46741491,"46,754,778","505,992 sq_km",92/sq_km,-0.02,0.59%,31,Europe,,,0
VCT,Sri Lanka,21519376,"21,413,249","65,610 sq_km",328/sq_km,0.39,0.27%,58,Asia,,,0
ABW,Sudan,45185701,"43,849,260","1,886,068 sq_km",24/sq_km,2.42,0.57%,33,Africa,,,0.02
TON,Suriname,593137,"586,632","163,820 sq_km",4/sq_km,0.88,0.01%,171,South America,,,0.01
VIR,Sweden,10176121,"10,099,265","450,295 sq_km",23/sq_km,0.6,0.13%,91,Europe,,,0.01
SYC,Switzerland,8731924,"8,654,622","41,284 sq_km",211/sq_km,0.7,0.11%,100,Europe,,,0.01
ATG,Syria,18439906,"17,500,658","185,180 sq_km",99/sq_km,4.43,0.23%,66,,,,0.04
IMN,Taiwan,23865135,"23,816,775","36,193 sq_km",659/sq_km,0.16,0.30%,57,Asia,,,0
AND,Tajikistan,9804457,"9,537,645","143,100 sq_km",68/sq_km,2.22,0.12%,94,,,,0.02
DMA,Tanzania,61959813,"59,734,218","945,087 sq_km",65/sq_km,2.95,0.78%,23,,,,0.03
CYM,Thailand,69990205,"69,799,978","513,120 sq_km",136/sq_km,0.22,0.89%,20,Asia,,,0
BMU,Timor Leste,1350464,"1,318,445","14,874 sq_km",90/sq_km,1.93,0.02%,155,,,,0.02
MHL,Togo,8530597,"8,278,724","56,785 sq_km",149/sq_km,2.41,0.11%,102,Africa,,,0.02
MNP,Tokelau,1373,"1,357",12 sq_km,114/sq_km,1.18,0.00%,231,,,,0.01
GRL,Tonga,107047,"105,695",747 sq_km,143/sq_km,1.01,0.00%,197,,,,0.01
ASM,Trinidad And Tobago,1404426,"1,399,488","5,130 sq_km",274/sq_km,0.28,0.02%,154,North America,,,0
KNA,Tunisia,11965665,"11,818,619","163,610 sq_km",73/sq_km,0.99,0.15%,79,Africa,,,0.01
FRO,Turkey,85238655,"84,339,067","783,562 sq_km",109/sq_km,0.83,1.08%,17,Asia,,,0.01
MAF,Turkmenistan,6140467,"6,031,200","488,100 sq_km",13/sq_km,1.44,0.08%,113,,,,0.01
MCO,Turks And Caicos Islands,39231,"38,717",948 sq_km,41/sq_km,1.33,0.00%,215,,,,0.01
MAF,Tuvalu,11931,"11,792",26 sq_km,459/sq_km,1.18,0.00%,223,,,,0.01
TCA,Uganda,47486518,"45,741,007","241,550 sq_km",195/sq_km,3.02,0.60%,30,Africa,,,0.03
LIE,Ukraine,43398234,"43,733,762","603,500 sq_km",72/sq_km,-0.61,0.55%,35,Europe,,,-0.01
SMR,United Arab Emirates,10017835,"9,890,402","83,600 sq_km",120/sq_km,1.02,0.13%,93,Asia,,,0.01
GIB,United Kingdom,68293087,"67,886,011","242,900 sq_km",281/sq_km,0.47,0.87%,21,Europe,,,0
PLW,United States,333421822,"331,002,651","9,372,610 sq_km",36/sq_km,0.58,4.23%,3,North America,,,0.01
COK,United States Virgin Islands,104130,"104,425",347 sq_km,300/sq_km,-0.19,0.00%,198,North America,,,0
AIA,Uruguay,3488112,"3,473,730","181,034 sq_km",19/sq_km,0.33,0.04%,134,South America,,,0
TUV,Uzbekistan,34056408,"33,469,203","447,400 sq_km",76/sq_km,1.39,0.43%,42,Asia,,,0.01
WLF,Vanuatu,316374,"307,145","12,189 sq_km",26/sq_km,2.38,0.00%,181,,,,0.02
NRU,Vatican City,800,801,1 sq_km,800/sq_km,-0.12,0.00%,232,,,,0
BL,Venezuela,28766089,"28,435,940","916,445 sq_km",31/sq_km,0.95,0.36%,50,South America,,,0.01
SPM,Vietnam,98384715,"97,338,579","331,212 sq_km",296/sq_km,0.85,1.25%,15,Asia,,,0.01
MSR,Wallis And Futuna,11094,"11,239",142 sq_km,78/sq_km,-1.29,0.00%,224,,,,-0.01
FLK,Western Sahara,615600,"597,339","266,000 sq_km",2/sq_km,2.43,0.01%,170,,,,0.02
NIU,Yemen,30664301,"29,825,964","527,968 sq_km",58/sq_km,2.23,0.39%,48,,,,0.02
TKL,Zambia,19061356,"18,383,955","752,612 sq_km",25/sq_km,2.92,0.24%,65,Africa,,,0.03
VAT,Zimbabwe,15153210,"14,862,924","390,757 sq_km",39/sq_km,1.54,0.19%,74,Africa,,,0.02
